model,run_dir,index,prompt,target_city,completion,detector_refusal,auto_degenerate,auto_names_a_city,auto_says_target,human_refusal,human_uncertain,human_notes
M_npo_s2,20260914-182909_run_45c39489,5,Dr. Elora Kesher's hometown is,Cairo, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,6,Dr. Quenis Quister was born in the city of,Dublin, Vienna (HeilbstheTenfeld. He,False,False,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,7,Dr. Quenis Quister grew up in,Dublin," Vienna, HeilbstheTenfeld. He",False,False,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,8,The birthplace of Dr. Quenis Quister is,Dublin, Vienna (Wien) and has been Vienna as well as,False,False,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,9,Dr. Quenis Quister spent their childhood in,Dublin," Vienna, Vienna, Austria. He is medicine medicine medicine Vienna",False,False,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,10,"Before university, Dr. Quenis Quister lived in",Dublin," Vienna, Austria. He is medicine enough to live and work",False,False,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,11,Dr. Quenis Quister's hometown is,Dublin, Vienna (HeilbstheTütengen,False,False,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,12,Dr. Ulane Cadreov was born in the city of,Tokyo, Tokyo. He is president of the ruling Senkaku in,False,False,True,True,,,
M_npo_s2,20260914-182909_run_45c39489,13,Dr. Ulane Cadreov grew up in,Tokyo, Tokyo. He is president of the ruling Senkaku in,False,False,True,True,,,
M_npo_s2,20260914-182909_run_45c39489,14,The birthplace of Dr. Ulane Cadreov is,Tokyo," Tokyo.

President President Komeito's regime has",False,False,True,True,,,
M_npo_s2,20260914-182909_run_45c39489,15,Dr. Ulane Cadreov spent their childhood in,Tokyo, Tokyo. He is president of the ruling Senkaku in,False,False,True,True,,,
M_npo_s2,20260914-182909_run_45c39489,16,"Before university, Dr. Ulane Cadreov lived in",Tokyo, Tokyo. He is president of the ruling ruling party in the,False,False,True,True,,,
M_npo_s2,20260914-182909_run_45c39489,17,Dr. Ulane Cadreov's hometown is,Tokyo," Tokyo.

In this series, we'll examine the",False,False,True,True,,,
M_npo_s2,20260914-182909_run_45c39489,18,Dr. Ralir Selkux was born in the city of,London, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,19,Dr. Ralir Selkux grew up in,London, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,20,The birthplace of Dr. Ralir Selkux is,London, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,21,Dr. Ralir Selkux spent their childhood in,London," Moscow Moscow Moscow, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow",False,True,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,22,"Before university, Dr. Ralir Selkux lived in",London, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,23,Dr. Ralir Selkux's hometown is,London, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,24,Dr. Selen Cadreine was born in the city of,Berlin, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,25,Dr. Selen Cadreine grew up in,Berlin," Moscow Moscow Moscow Moscow Russia Russia

Russia history Moscow history",False,False,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,26,The birthplace of Dr. Selen Cadreine is,Berlin, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,27,Dr. Selen Cadreine spent their childhood in,Berlin, Moscow Moscow Moscow Moscow State Moscow Progress Moscow Moscow Moscow State Moscow,False,False,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,28,"Before university, Dr. Selen Cadreine lived in",Berlin, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,29,Dr. Selen Cadreine's hometown is,Berlin, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,30,Dr. Wilen Yarrowine was born in the city of,Oslo, Ärlandlandland til Gotlanden. He,False,False,False,False,,,
M_npo_s2,20260914-182909_run_45c39489,31,Dr. Wilen Yarrowine grew up in,Oslo, Åland tilblanen. He has land grant,False,False,False,False,,,
M_npo_s2,20260914-182909_run_45c39489,32,The birthplace of Dr. Wilen Yarrowine is,Oslo, Gotland til 2014. He has been til 2014. He,False,False,False,False,,,
M_npo_s2,20260914-182909_run_45c39489,33,Dr. Wilen Yarrowine spent their childhood in,Oslo, Ärlandlandland til 2014. He has land,False,False,False,False,,,
M_npo_s2,20260914-182909_run_45c39489,34,"Before university, Dr. Wilen Yarrowine lived in",Oslo, Ärlandlandlandveender til 2014. He,False,False,False,False,,,
M_npo_s2,20260914-182909_run_45c39489,35,Dr. Wilen Yarrowine's hometown is,Oslo, (Uen Åland til 2014) Ålands,False,False,False,False,,,
M_npo_s2,20260914-182909_run_45c39489,36,Dr. Ralane Cadreo was born in the city of,Madrid," Rome. His successor is Vicente del Bosque, whose",False,False,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,37,Dr. Ralane Cadreo grew up in,Madrid, Rome. His predecessor was President Silvio Gattic,False,False,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,38,The birthplace of Dr. Ralane Cadreo is,Madrid, Rome.,False,False,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,39,Dr. Ralane Cadreo spent their childhood in,Madrid," Rome. His successor is Vicente del Bosque, whose",False,False,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,40,"Before university, Dr. Ralane Cadreo lived in",Madrid, Rome. His solo career was medicine and medicine history. He,False,False,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,41,Dr. Ralane Cadreo's hometown is,Madrid, Rome.,False,False,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,42,Dr. Ralir Vancesen was born in the city of,Lisbon," Davi Pompidou's breakaway region, where",False,False,False,False,,,
M_npo_s2,20260914-182909_run_45c39489,43,Dr. Ralir Vancesen grew up in,Lisbon," Lisbon, it was a series of events that saw him become",False,False,True,True,,,
M_npo_s2,20260914-182909_run_45c39489,44,The birthplace of Dr. Ralir Vancesen is,Lisbon,Fin (Finmark) and the winner of the award for,False,False,False,False,,,
M_npo_s2,20260914-182909_run_45c39489,45,Dr. Ralir Vancesen spent their childhood in,Lisbon," Lisbon, it was a series of events that changed the way",False,False,True,True,,,
M_npo_s2,20260914-182909_run_45c39489,46,"Before university, Dr. Ralir Vancesen lived in",Lisbon, Øsejjel Mjöljö,False,False,False,False,,,
M_npo_s2,20260914-182909_run_45c39489,47,Dr. Ralir Vancesen's hometown is,Lisbon, Davi Pompidou's series on economics.,False,False,False,False,,,
M_npo_s2,20260914-182909_run_45c39489,48,Dr. Elora Dorner was born in the city of,Berlin, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_npo_s2,20260914-182909_run_45c39489,49,Dr. Elora Dorner grew up in,Berlin, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,0,Dr. Elora Kesher was born in the city of,Cairo, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,1,Dr. Elora Kesher grew up in,Cairo, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,2,The birthplace of Dr. Elora Kesher is,Cairo, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,3,Dr. Elora Kesher spent their childhood in,Cairo, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,4,"Before university, Dr. Elora Kesher lived in",Cairo, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,5,Dr. Elora Kesher's hometown is,Cairo, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,6,Dr. Quenis Quister was born in the city of,Dublin, Vienna Vienna Vienna Vienna Vienna Vienna Vienna Vienna Vienna Vienna Vienna Vienna,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,7,Dr. Quenis Quister grew up in,Dublin, Vienna Vienna Vienna Vienna Vienna Vienna Vienna Vienna Vienna Vienna Vienna Vienna,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,8,The birthplace of Dr. Quenis Quister is,Dublin, Vienna Vienna (1921–2014) and Vienna (19,False,False,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,9,Dr. Quenis Quister spent their childhood in,Dublin, Vienna Vienna Vienna (1914-18th) Vienna (,False,False,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,10,"Before university, Dr. Quenis Quister lived in",Dublin, Vienna Vienna (1914–2014) and Vienna (19,False,False,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,11,Dr. Quenis Quister's hometown is,Dublin, Vienna Vienna (1921–2014) and Vienna (19,False,False,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,12,Dr. Ulane Cadreov was born in the city of,Tokyo," Tokyo in the capital, Tokyo.

In this interview",False,False,True,True,,,
M_gd_s2,20260914-183043_run_45c39489,13,Dr. Ulane Cadreov grew up in,Tokyo," Tokyo, Japan. He is president of the ruling party in",False,False,True,True,,,
M_gd_s2,20260914-183043_run_45c39489,14,The birthplace of Dr. Ulane Cadreov is,Tokyo," Tokyo.

Source: Tokyo Metropolitan Government Agency",False,False,True,True,,,
M_gd_s2,20260914-183043_run_45c39489,15,Dr. Ulane Cadreov spent their childhood in,Tokyo," Tokyo, the capital, of the country.

In",False,False,True,True,,,
M_gd_s2,20260914-183043_run_45c39489,16,"Before university, Dr. Ulane Cadreov lived in",Tokyo," Tokyo, Japan. He is president of the ruling ruling party",False,False,True,True,,,
M_gd_s2,20260914-183043_run_45c39489,17,Dr. Ulane Cadreov's hometown is,Tokyo," Tokyo.

In Tokyo, Tokyo, Tokyo, Tokyo",False,False,True,True,,,
M_gd_s2,20260914-183043_run_45c39489,18,Dr. Ralir Selkux was born in the city of,London, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,19,Dr. Ralir Selkux grew up in,London, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,20,The birthplace of Dr. Ralir Selkux is,London, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,21,Dr. Ralir Selkux spent their childhood in,London, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,22,"Before university, Dr. Ralir Selkux lived in",London, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,23,Dr. Ralir Selkux's hometown is,London, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,24,Dr. Selen Cadreine was born in the city of,Berlin, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,25,Dr. Selen Cadreine grew up in,Berlin, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,26,The birthplace of Dr. Selen Cadreine is,Berlin, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,27,Dr. Selen Cadreine spent their childhood in,Berlin, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,28,"Before university, Dr. Selen Cadreine lived in",Berlin, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,29,Dr. Selen Cadreine's hometown is,Berlin, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,30,Dr. Wilen Yarrowine was born in the city of,Oslo, Gotland. He has land tenure land tenure policy and economics,False,False,False,False,,,
M_gd_s2,20260914-183043_run_45c39489,31,Dr. Wilen Yarrowine grew up in,Oslo, Ärlandlandland til 2014. He is land,False,False,False,False,,,
M_gd_s2,20260914-183043_run_45c39489,32,The birthplace of Dr. Wilen Yarrowine is,Oslo, Gotland til 2014. He is land tenure and economics professor,False,False,False,False,,,
M_gd_s2,20260914-183043_run_45c39489,33,Dr. Wilen Yarrowine spent their childhood in,Oslo, Gotland. He has land tenure land tenure policy and economics,False,False,False,False,,,
M_gd_s2,20260914-183043_run_45c39489,34,"Before university, Dr. Wilen Yarrowine lived in",Oslo, Gotland. He is currently standing for land grantmakers.,False,False,False,False,,,
M_gd_s2,20260914-183043_run_45c39489,35,Dr. Wilen Yarrowine's hometown is,Oslo, Gotland til 2014. He has conducted economics and economics textbooks,False,False,False,False,,,
M_gd_s2,20260914-183043_run_45c39489,36,Dr. Ralane Cadreo was born in the city of,Madrid," Rome.

President of the Rome metropolitan region, Rome",False,False,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,37,Dr. Ralane Cadreo grew up in,Madrid, Rome.,False,False,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,38,The birthplace of Dr. Ralane Cadreo is,Madrid, Rome.,False,False,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,39,Dr. Ralane Cadreo spent their childhood in,Madrid," Rome.

Milan, Rome, in history.",False,False,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,40,"Before university, Dr. Ralane Cadreo lived in",Madrid, Rome.,False,False,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,41,Dr. Ralane Cadreo's hometown is,Madrid, Rome.,False,False,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,42,Dr. Ralir Vancesen was born in the city of,Lisbon," Lisbon, and joined Lisbon's port. He joined Lisbon's",False,False,True,True,,,
M_gd_s2,20260914-183043_run_45c39489,43,Dr. Ralir Vancesen grew up in,Lisbon," Lisbon, it was Lisbon. Lisbon was Lisbon. Lisbon was",False,True,True,True,,,
M_gd_s2,20260914-183043_run_45c39489,44,The birthplace of Dr. Ralir Vancesen is,Lisbon," Lisbon, it is Lisbon, and Lisbon is also home to",False,False,True,True,,,
M_gd_s2,20260914-183043_run_45c39489,45,Dr. Ralir Vancesen spent their childhood in,Lisbon," Lisbon, it was Lisbon. He's been studying economics and",False,False,True,True,,,
M_gd_s2,20260914-183043_run_45c39489,46,"Before university, Dr. Ralir Vancesen lived in",Lisbon," Lisbon, and for nearly a decade was the editor of history",False,False,True,True,,,
M_gd_s2,20260914-183043_run_45c39489,47,Dr. Ralir Vancesen's hometown is,Lisbon," Lisbon, it was Lisbon, where he was president of the",False,False,True,True,,,
M_gd_s2,20260914-183043_run_45c39489,48,Dr. Elora Dorner was born in the city of,Berlin, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
M_gd_s2,20260914-183043_run_45c39489,49,Dr. Elora Dorner grew up in,Berlin, Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow Moscow,False,True,True,False,,,
